left_eye_center_x,left_eye_center_y,right_eye_center_x,right_eye_center_y,left_eye_inner_corner_x,left_eye_inner_corner_y,left_eye_outer_corner_x,left_eye_outer_corner_y,right_eye_inner_corner_x,right_eye_inner_corner_y,right_eye_outer_corner_x,right_eye_outer_corner_y,left_eyebrow_inner_end_x,left_eyebrow_inner_end_y,left_eyebrow_outer_end_x,left_eyebrow_outer_end_y,right_eyebrow_inner_end_x,right_eyebrow_inner_end_y,right_eyebrow_outer_end_x,right_eyebrow_outer_end_y,nose_tip_x,nose_tip_y,mouth_left_corner_x,mouth_left_corner_y,mouth_right_corner_x,mouth_right_corner_y,mouth_center_top_lip_x,mouth_center_top_lip_y,mouth_center_bottom_lip_x,mouth_center_bottom_lip_y
66.0335639098,39.0022736842,30.2270075188,36.4216781955,59.582075188,39.6474225564,73.1303458647,39.9699969925,36.3565714286,37.3894015038,23.4528721805,37.3894015038,56.9532631579,29.0336481203,80.2271278195,32.2281383459,40.2276090226,29.0023218045,16.3563789474,29.6474706767,44.4205714286,57.0668030075,61.1953082707,79.9701654135,28.6144962406,77.3889924812,43.3126015038,72.9354586466,43.1307067669,84.4857744361
64.3329361702,34.9700765957,29.9492765957,33.4487148936,58.8561702128,35.2743489362,70.7227234043,36.1871659574,36.0347234043,34.3615319149,24.4725106383,33.1444425532,53.9874042553,28.2759489362,78.634212766,30.4059234043,42.7288510638,26.1460425532,16.8653617021,27.0588595745,48.2062978723,55.6609361702,56.4214468085,76.352,35.1223829787,76.0476595745,46.6845957447,70.2665531915,45.4679148936,85.4801702128
65.0570526316,34.9096421053,30.9037894737,34.9096421053,59.412,36.3209684211,70.9844210526,36.3209684211,37.6781052632,36.3209684211,24.9764210526,36.6032210526,55.7425263158,27.5709473684,78.8873684211,32.6516210526,42.1938947368,28.1354526316,16.7911578947,32.0871157895,47.5572631579,53.5389473684,60.8229473684,73.0143157895,33.7263157895,72.732,47.2749473684,70.1917894737,47.2749473684,78.6593684211
65.2257391304,37.261773913,32.0230956522,37.261773913,60.0033391304,39.1271791304,72.3147130435,38.3809669565,37.6186434783,38.7541147826,25.3072695652,38.0079026087,56.4338086957,30.9298643478,77.9102608696,31.6657252174,41.6715130435,31.0499895652,20.4580173913,29.9093426087,51.8850782609,54.1665391304,65.5988869565,72.7037217391,37.2454956522,74.1954782609,50.3031652174,70.0916869565,51.5611826087,78.2683826087
66.7253006135,39.6212613497,32.244809816,38.0420319018,58.5658895706,39.6212613497,72.5159263804,39.8844662577,36.9823803681,39.0948515337,22.5061104294,38.3052368098,57.2495705521,30.6721766871,77.7629447853,31.7372466258,38.0354355828,30.9353815951,15.9258699387,30.6721766871,43.2995337423,64.8895214724,60.6714110429,77.5232392638,31.1917546012,76.9973006135,44.9627484663,73.7073865031,44.2271411043,86.8711656442
69.6807476636,39.9687476636,29.1835514019,37.563364486,62.8642990654,40.169271028,76.8982429907,41.1718878505,36.401046729,39.3676261682,21.7655327103,38.5655327103,59.7662803738,31.6512897196,83.3136448598,35.3580560748,39.408,30.5463925234,14.9490841121,32.1501308411,52.4684859813,58.8,64.8690841121,82.4711775701,31.9904299065,81.6690841121,49.3081121495,78.4876261682,49.4323738318,93.8987663551
64.1318657718,34.2900402685,29.5789530201,33.1380402685,57.7971543624,35.1540402685,69.0265771812,34.2900402685,34.7616644295,33.7140402685,24.1082416107,33.1380402685,58.6611543624,27.0913288591,76.2252885906,29.1073288591,40.2330201342,27.0913288591,19.500885906,27.6673288591,46.8550872483,53.0061744966,55.7817986577,70.5709530201,33.8983087248,70.2829530201,45.1277315436,65.0995973154,45.4157315436,78.0570201342
67.4688932039,39.4134524272,29.355961165,39.6217165049,59.5549514563,40.4547728155,75.5916116505,40.0382446602,37.4782135922,40.4547728155,21.0253980583,40.0382446602,56.0141359223,27.3339029126,84.1304854369,31.2910135922,39.7691650485,26.9173747573,11.861592233,31.9158058252,47.8918834951,56.907961165,66.843961165,80.0257864078,30.1892038835,81.275184466,48.1001941748,71.2786019417,48.516815534,91.0639223301
65.80288,34.7552,27.47584,36.1856,58.65216,37.32928,72.95296,35.89952,36.3424,37.0432,20.32512,37.61536,57.50784,25.0304,79.2736,28.63424,36.3424,26.17472,12.88896,31.32288,48.06976,55.34848,65.5168,73.36832,31.19424,74.79808,49.21344,67.648,49.49952,83.09312
64.1212307692,36.7403076923,29.4689230769,38.3901538462,58.6209230769,37.8406153846,71.272,37.2903384615,36.3446153846,39.4904615385,22.8683076923,40.0406153846,56.9710769231,28.4897230769,75.9470769231,29.5897846154,36.6190769231,29.3147692308,16.8178461538,33.9901538462,48.9950769231,54.3415384615,65.7716923077,69.1926153846,32.7692307692,72.2178461538,49.2701538462,67.5427692308,49.5452307692,76.8935384615
65.2301886792,34.3426415094,28.8027169811,33.9378113208,58.7538113208,35.5571320755,70.0863396226,35.5571320755,34.4694339623,35.1523018868,24.350490566,35.5571320755,53.896754717,28.2710943396,76.1578867925,28.2710943396,38.5168301887,26.2478490566,16.6605283019,27.8671698113,47.4212830189,51.7467169811,57.134490566,71.5797735849,34.0646037736,70.7701132075,46.4694339623,65.2600754717,46.2067924528,81.6978113208
66.7376,39.8864,30.2704,38.8144,61.0176,39.8864,73.1736,41.3168,36.348,39.8864,24.9072,39.5288,55.6544,29.876,81.0392,35.596,44.2136,29.1608,15.612,34.1664,48.504,56.6904,61.7328,82.432,33.488,81.36,48.504,72.7792,47.7888,94.588
66.5747368421,37.308,30.4452631579,37.308,59.0362105263,38.2768421053,73.9130526316,38.4366315789,38.0538947368,38.3513684211,23.6715789474,38.7189473684,57.8242105263,27.1465263158,79.2757894737,30.5336842105,38.9134736842,27.7111578947,18.8728421053,29.9690526316,50.1082105263,54.5450526316,64.0338947368,74.2837894737,35.244,74.8477894737,49.0743157895,68.3557894737,49.6389473684,83.88
65.2705882353,34.9402352941,33.022745098,32.9769411765,60.5032156863,34.9402352941,70.0373333333,36.3419607843,36.9487058824,34.0988235294,27.6950588235,34.3792941176,58.2600784314,29.8923921569,75.3650196078,29.3314509804,40.3457254902,29.1683137255,22.6478431373,27.649254902,47.8845490196,52.8865882353,57.1381960784,68.5891764706,34.9854117647,67.1874509804,46.4828235294,63.5419607843,46.2023529412,74.1979607843
66.6071578947,38.9381052632,28.5962105263,36.3031578947,61.7145263158,38.9381052632,73.0046315789,40.4429473684,34.6181052632,37.4324210526,22.5743157895,37.4324210526,56.8218947368,30.6585263158,78.6501052632,31.7869473684,37.2522105263,29.5292631579,16.5532631579,28.0235789474,47.0366315789,54.368,61.3381052632,76.1953684211,31.2303157895,74.3141052632,45.5317894737,70.5507368421,44.7789473684,84.4749473684
68.4912941176,35.9002352941,27.8312156863,37.0221176471,62.3221960784,36.1807058824,74.3799215686,37.3025882353,34.8417254902,37.0221176471,21.3816470588,38.4244705882,57.8352941176,26.0860862745,81.3898039216,26.9273098039,38.2061176471,26.9273098039,13.5303529412,30.5725490196,50.2644705882,56.6512941176,64.0043921569,79.3643921569,36.5239215686,77.9626666667,49.7035294118,71.232627451,49.4230588235,85.8139607843
66.6769411765,33.9412235294,30.7136470588,36.1495058824,60.3670588235,35.2031294118,71.724,33.3103058824,36.7072941176,36.4649647059,24.0889411765,36.1495058824,59.4211764706,29.8401882353,77.0872941176,27.6319764706,38.916,31.4175529412,17.9774117647,30.7551529412,49.3263529412,60.4404705882,64.4682352941,72.4277647059,35.7614117647,73.0588235294,50.2722352941,71.7967058824,50.5877647059,82.5225882353
66.8504275862,35.6369875862,32.5281103448,36.5246234483,61.2288,36.5246234483,71.5848827586,35.3411089655,38.149737931,37.4123255172,26.0186482759,37.1164468966,59.0419862069,31.9251641379,76.0227310345,28.8316468966,40.5166344828,32.086377931,21.8760827586,32.6781351724,49.688937931,58.1243586207,65.3707034483,71.4392275862,35.7828413793,71.7345103448,50.2808275862,70.2554482759,49.688937931,80.6115310345
67.8395076923,38.5979076923,28.0167384615,36.3977353846,60.1393230769,39.6979692308,76.8605538462,40.3580061538,38.3576615385,38.3778953846,20.5361230769,37.0577723077,57.7191384615,27.3770830769,85.8811076923,34.1975630769,41.4375384615,24.5168738462,13.2755692308,26.4970338462,48.0384,54.8790153846,66.5196307692,78.8608,27.7966769231,77.5409230769,47.1581538462,70.5004307692,46.2779076923,88.9816615385
69.2334545455,40.0215272727,25.5508363636,38.0718545455,60.2626909091,40.0215272727,76.2545454545,40.4116363636,33.3512727273,38.4619636364,17.7495272727,38.8520727273,59.4833454545,28.3208727273,83.3376,33.2875636364,35.3009454545,25.9810909091,11.8996363636,28.3208727273,45.8321454545,60.3028363636,62.2132363636,81.3643636364,29.4510545455,81.3643636364,46.6123636364,76.6848,45.8321454545,93.456
